Your Hand,Your Hand Type,Opponent k,Naive Win %,Bayesian Win %,Δ (Bayes − Naive) %,P(Opp Stronger) %,Most Likely Opp Type
Ac Jd Ts Td W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jd Ts Th Tc,Three of a Kind,0,51.85,57.90,6.04,42.10,Pair
Ac Jd Ts Th Tc,Three of a Kind,1,51.85,58.89,7.03,41.11,Pair
Ac Jd Ts Th Tc,Three of a Kind,2,51.85,58.21,6.36,41.79,Pair
Ac Jd Ts Th Tc,Three of a Kind,3,51.85,66.07,14.21,33.93,Pair
Ac Jd Ts Th Tc,Three of a Kind,4,51.85,60.03,8.17,39.97,Pair
Ac Jd Ts Th Tc,Three of a Kind,5,51.85,51.85,0.00,48.15,Pair
Ac Jd Ts Th Td,Three of a Kind,0,51.85,57.90,6.04,42.10,Pair
Ac Jd Ts Th Td,Three of a Kind,1,51.85,58.89,7.03,41.11,Pair
Ac Jd Ts Th Td,Three of a Kind,2,51.85,58.21,6.36,41.79,Pair
Ac Jd Ts Th Td,Three of a Kind,3,51.85,66.07,14.21,33.93,Pair
Ac Jd Ts Th Td,Three of a Kind,4,51.85,60.03,8.17,39.97,Pair
Ac Jd Ts Th Td,Three of a Kind,5,51.85,51.85,0.00,48.15,Pair
Ac Jd Ts Th W,Three of a Kind,0,77.20,81.18,3.98,18.82,Pair
Ac Jd Ts Th W,Three of a Kind,1,77.20,82.63,5.44,17.37,Pair
Ac Jd Ts Th W,Three of a Kind,2,77.20,82.80,5.61,17.20,Pair
Ac Jd Ts Th W,Three of a Kind,3,77.20,87.77,10.57,12.23,Pair
Ac Jd Ts Th W,Three of a Kind,4,77.20,81.72,4.53,18.28,Pair
Ac Jd Ts Th W,Three of a Kind,5,77.20,77.20,0.00,22.80,Pair
Ac Jh Jc Tc W,Three of a Kind,0,78.62,82.70,4.08,17.30,Pair
Ac Jh Jc Tc W,Three of a Kind,1,78.62,84.16,5.54,15.84,Pair
